EQ, 1331773424.41462, KSXB, NC,   , HHZ, P, i, H
EQ, 1331773450.19634, KSXB, NC,   , HHE, S, e, H
EQ, 1331773430.04842, L02D, TA,   , BHZ, P, i, H
EQ, 1331773434.79815, B035, PB,   , EHZ, P, i, H
EQ, 1331773463.99679, B035, PB,   , EH2, S, i, H
EQ, 1331773434.95779, B036, PB,   , EHZ, P, i, H
EQ, 1331773439.26833, HUMO, BK, 00, BHZ, P, i, H
EQ, 1331773444.60748, B033, PB,   , EHZ, P, i, H
EQ, 1331773454.98804, B030, PB,   , EHZ, P, e, H
EQ, 735175256.73, LO2, UW,   , EHZ, P, None, F
EQ, 735175257.94, LO2, UW,   , EHZ, S, None, F
EQ, 735175256.85, RER, UW,   , EHZ, P, None, F
EQ, 735175258.02, RER, UW,   , EHZ, S, None, F
EQ, 735175260.19, WPW, UW,   , EHZ, P, None, F
EQ, 735175264.07, WPW, UW,   , EHZ, S, None, F
EQ, 735175260.93, GLK, UW,   , EHZ, P, None, F
EQ, 735175258.82, RVC, UW,   , EHZ, P, None, F
EQ, 735175261.55, RVC, UW,   , EHZ, S, None, F
EQ, 680145909.07, STD, UW,   , EHZ, P, None, F
EQ, 680145910.11, STD, UW,   , EHZ, S, None, F
EQ, 680145910.92, CDF, UW,   , EHZ, P, None, F
EQ, 680145911.35, TDL, UW,   , EHZ, P, None, F
EQ, 680145913.83, TDL, UW,   , EHZ, S, None, F
EQ, 680145908.85, SHW, UW,   , EHZ, P, None, F
EQ, 680145910.61, FL2, UW,   , EHZ, P, None, F
EQ, 680145909.43, JUN, UW,   , EHZ, P, None, F
EQ, 680145910.57, JUN, UW,   , EHZ, S, None, F
EQ, 680145909.0, EDM, UW,   , EHZ, P, None, F
EQ, 680145908.86, HSR, UW,   , EHZ, P, None, F
EQ, 680145909.27, SOS, UW,   , EHZ, P, None, F
EQ, 680145910.6, SOS, UW,   , EHZ, S, None, F
EQ, 680145908.44, REM, UW,   , EHZ, P, None, F
EQ, 680145917.26, KOS, UW,   , EHZ, S, None, F
EQ, 703698563.12, RVC, UW,   , EHZ, P, None, F
EQ, 703698564.77, RVC, UW,   , EHZ, S, None, F
EQ, 703698568.21, GLK, UW,   , EHZ, P, None, F
EQ, 703698573.74, GLK, UW,   , EHZ, S, None, F
EQ, 703698562.98, RER, UW,   , EHZ, P, None, F
EQ, 703698564.73, RER, UW,   , EHZ, S, None, F
EQ, 703698565.3, FMW, UW,   , EHZ, P, None, F
EQ, 703698568.41, FMW, UW,   , EHZ, S, None, F
EQ, 703698567.14, WPW, UW,   , EHZ, P, None, F
EQ, 703698572.11, WPW, UW,   , EHZ, S, None, F
EQ, 703698564.23, RCS, UW,   , EHZ, P, None, F
EQ, 703698566.45, RCS, UW,   , EHZ, S, None, F
EQ, 703698563.76, LO2, UW,   , EHZ, P, None, F
EQ, 703698565.94, LO2, UW,   , EHZ, S, None, F
EQ, 703698571.14, LMW, UW,   , EHZ, S, None, F
EQ, 703698568.12, GSM, UW,   , EHZ, P, None, F
EQ, 678144290.95, STD, UW,   , EHZ, P, None, F
EQ, 678144294.51, STD, UW,   , EHZ, S, None, F
EQ, 678144296.25, ASR, UW,   , EHZ, P, None, F
EQ, 678144299.45, GLK, UW,   , EHZ, P, None, F
EQ, 678144288.53, LVP, UW,   , EHZ, P, None, F
EQ, 678144291.16, LVP, UW,   , EHZ, S, None, F
EQ, 678144297.03, TDL, UW,   , EHZ, S, None, F
EQ, 678144289.63, FL2, UW,   , EHZ, P, None, F
EQ, 678144292.62, FL2, UW,   , EHZ, S, None, F
EQ, 678144290.32, JUN, UW,   , EHZ, P, None, F
EQ, 678144293.7, JUN, UW,   , EHZ, S, None, F
